id,domain_id,domain,npc.role,npc.role_style,npc.roleplay_style,dialogue.question_tr,dialogue.question_en,dialogue.answer_tr,dialogue.answer_en,labels.intent,labels.player_intent,labels.emotion,labels.game_context,labels.difficulty_level,tags.tr,tags.en
16709,RLP_FAM_COM_001,family,family_expert,calm,supportive,Aile içi iletişim ne anlama gelir?,What does family communication mean?,"Aile üyeleri arasında duygu, düşünce ve ihtiyaçların karşılıklı paylaşılmasıdır.","It is the mutual sharing of feelings, thoughts, and needs among family members.",ACADEMIC_OVERVIEW,ask_information,informative,tutorial,very_easy,"iletişim, aile, bağ","communication, family, connection"
16849,RLP_FAM_CON_091,family,family_expert,empathetic,empathetic,Çocukların korku veya kaygı göstermesi neyi anlatır?,What does it indicate when children show fear or anxiety?,Aile içi gerginliği anlatabilir.,It can describe tension within the family.,AWARENESS_BUILD,ask_information,supportive,dialogue_choice,easy,"kaygı, çocuk, işaret","anxiety, child, sign"
17412,RLP_GUI_GDX_304,counseling,youth_expert,guiding,guiding,Not ortalaması burs için neden önemlidir?,Why is GPA important for scholarships?,Öğrencinin akademik performansını gösterir.,It reflects the student's academic performance.,ACADEMIC_OVERVIEW,ask_information,informative,mission_briefing,easy,"performans, not, burs","performance, grade, scholarship"
17874,RLP_GUI_GDY_016,counseling,youth_expert,guiding,guiding,Gönüllülük kariyere katkı sağlar mı?,Does volunteering contribute to a career?,Deneyim ve ağ oluşturarak katkı sağlar.,It contributes by gaining experience and building a network.,ACADEMIC_OVERVIEW,ask_information,informative,mission_briefing,easy,"kariyer, deneyim, ağ","career, experience, network"
17942,RLP_GUI_GDY_084,counseling,youth_expert,guiding,guiding,Dijital etik nedir?,What is digital ethics?,Dijital ortamlarda sorumlu davranış ilkeleridir.,These are principles of responsible behavior in digital environments.,ACADEMIC_OVERVIEW,ask_information,informative,tutorial,easy,"etik, sorumluluk, dijital","ethics, responsibility, digital"
19904,RLP_EXP_MSG_046,metaverse_ınformation,information_expert,explanatory,supportive,Metaverse süreçleri kurumları etkiler mi?,Do metaverse processes affect organizations?,İş yapış biçimlerini dönüştürür.,It transforms the way business is done.,ACADEMIC_OVERVIEW,ask_information,informative,tutorial,easy,"kurum, dönüşüm, iş_süreçleri","organization, transformation, business_processes"
20009,RLP_FDB_SCX_001,metaverse_ınformation,feedback_npc,supportive,supportive,Soru–cevap üzerinden geri bildirimin amacı nedir?,What is the purpose of feedback through a question-and-answer format?,Yanıtın niteliğini görünür kılarak gelişimi desteklemektir.,The goal is to support development by making the quality of the response visible.,ACADEMIC_OVERVIEW,ask_definition,supportive,tutorial,easy,"amac, geri_bildirim, gelisim","purpose, feedback, development"
21197,RLP_GUI_SCH_289,school_rules,school_guide_npc,explanatory,supportive,Okul–veli iletişimi şeffaf mıdır?,Is school-parent communication transparent?,Bilgilendirme açık ve düzenlidir.,The information is clear and concise.,ACADEMIC_OVERVIEW,ask_information,informative,tutorial,easy,"seffaflik, bilgi, veli","transparency, information, guardian"
21551,RLP_INF_SCH_136,school_rules,school_consultant_npc,guiding,supportive,Kat planı yönlendirme hatalarını azaltır mı?,Does the floor plan reduce wayfinding errors?,Yanlış yönlenmeyi büyük ölçüde azaltır.,It greatly reduces misdirection.,KNOWLEDGE_CHECK,ask_information,neutral,tutorial,easy,"hata, yonlendirme, cozum","error, redirection, solution"
33083,MTA_HIN_MAA_010,metaverse_information,metaverse_hint_npc,analytical,helpful,Sürekli ipucu verilirse ne olur?,What happens if clues are given repeatedly?,Bağımsız öğrenme azalır.,Independent learning decreases.,CAUSE_EFFECT_EXPLAIN,ask_information,informative,hint_request,easy,"fazlalik, bagimsizlik, etki","excess, independence, influence"
33665,MTA_HIN_STA_042,metaverse_information,metaverse_hint_npc,explanatory,helpful,Takılma ipucu ne zaman verilmez?,When is a tripping cue not given?,Kullanıcı çözüm buluyorsa.,If the user finds a solution.,CONCEPT_EXPLAIN,ask_definition,neutral,debriefing,easy,"kesif, sessizlik, ipucu","intense, silence, clue"
33964,MTA_HIN_FRQ_041,metaverse_information,metaverse_hint_npc,systematic,helpful,Akış nasıl korunur?,How is the flow maintained?,Doğru sıklıkla.,At the right frequency.,PROCESS_EXPLAIN,ask_information,positive,tutorial,easy,"dogru, siklik, akis","correct, cyclic, reflection"
34809,MTA_MTX_CNP_786,metaverse_information,metaverse_rule_npc,responsible,serious,Dayanıklılık nasıl gelişir?,How does resilience develop?,Deneyim ve öğrenmeyle.,Through experience and learning.,SKILL_EXPLAIN,ask_information,serious,tutorial,medium,"dayanıklılık, deneyim, öğrenme","resilience, experience, learning"
42797,DDL_DDX_FNB_517,dialogues,dialogue_routine_npc,safety_focused,explanatory,Su içmek seni yavaşlatmaya davet etti mi?,Did drinking water invite you to slow down?,Davet algısı farkındalığı artırır.,The perception of invitation increases awareness.,PROCESS_GUIDE,request_help,neutral,emotional_support,very_easy,"davet, yavaşlama, su","invitation, slowing down, water"
44758,DDL_DDX_DDZ_008,dialogues,dialogue_coach_npc,instructional,supportive,Aynı anda çok iş yapmak dikkati nasıl etkiler?,How does multitasking affect concentration?,Odak bölünmesine ve verim düşüşüne yol açar.,It leads to a split in focus and a decrease in productivity.,LEARNING_SUPPORT,start_quest,serious,mission_briefing,easy,"coklu_gorev, verim, odak","multiple_tasking, efficiency, focus"
46808,DDL_DDX_ENT_946,dialogues,dialogue_entertainment_npc,interactive,supportive,Duygusal ihtiyacına cevap verdi mi?,Did it meet their emotional needs?,İhtiyaç karşılanması iyi hissettirir.,Having your needs met makes you feel good.,REFLECTION,express_emotion,calm,emotional_support,easy,"ihtiyaç, karşılanma, izleme","need, meeting, monitoring"
65647,TRV_TRV_EVX_037,travel,travel_advisor_npc,systematic,supportive,Ev ve iş düzenini aceleye getirmemek neden önemlidir?,Why is it important not to rush your home and work routines?,Küçük ama önemli detaylar kaçmaz.,Small but important details don't go unnoticed., EVALUATE,ask_strategy,neutral,mission_briefing,easy,"dikkat, kontrol, hazırlık","attention, control, preparation"
68991,TRV_TRX_RSA_361,travel,travel_advisor_npc,systematic,supportive,Bu boşluk neye ayrılabilir?,What can this space be allocated to?,"Yemek, dinlenme veya kısa serbest zaman için kullanılabilir.","It can be used for meals, rest, or short periods of free time.", PROCESS_GUIDE,ask_strategy,informative,mission_briefing,easy,"mola, dinlenme, serbest","break, rest, free"
75038,TRV_WEL_WEA_011,travel,travel_advisor_npc,supportive,supportive,Nemli hava neden daha bunaltıcı?,Why is humid air more oppressive?,Terin buharlaşması zorlaşır.,Sweat has difficulty evaporating., AWARENESS_BUILD,ask_information,informative,mission_briefing,easy,"nem, bunalma, ter","dampness, depression, sweat"
83308,CHR_MLK_MLX_674,history_npc,meliksah_npc,cultural,authoritative,Taht mücadelesi orduda nasıl yansıdı?,How did the struggle for the throne manifest itself in the army?,Ordu birlikleri farklı adaylara bağlılık göstererek iç çatışmalar oluştu.,Internal conflicts arose as army units showed allegiance to different candidates.,ACADEMIC_OVERVIEW,ask_information,informative,tutorial,easy,"ordu, savas, taht","army, war, throne"
84981,CHR_YNS_YNX_107,history_npc,yunus_npc,narrative,explanatory,İlahi aşk insanın dünyaya bakışını nasıl değiştirir?,How does divine love change a person's perspective on the world?,İnsan dünyayı geçici bir durak olarak görmeye başlar.,People begin to see the world as a temporary stopover.,LEARNING_SUPPORT,ask_information,curious,exploration,easy,"dünya, bakış, tasavvuf","world, perspective, Sufism"
86182,CHR_HBV_HBX_986,history_npc,haci_bektas_npc,narrative,explanatory,Gelecek kuşaklara doğruluk nasıl öğretilir?,How can we teach honesty to future generations?,Doğru davranışlar gösterilerek ve örnek olunarak.,By demonstrating positive behavior and setting an example.,ACADEMIC_OVERVIEW,ask_information,informative,tutorial,easy,"dogruluk, ornek, egitim","truth, example, education"
